Designator,Mid X,Mid Y,Layer,Rotation
C1,145.9375,-97.05,top,0
C2,145.9375,-99.55,top,0
C3,145.9125,-102.05,top,0
D1,134,-84.4375,top,-90
D2,130.5,-84.4375,top,-90
D3,127,-84.4375,top,-90
D4,124,-84.5,top,-90
D5,121,-84.4375,top,-90
D6,118,-84.4375,top,-90
D7,115,-84.5,top,-90
D8,112,-84.5,top,-90
D9,109,-84.5,top,-90
D10,106,-84.5,top,-90
D11,97.5,-112.0875,top,0
D12,108,-112.0875,top,0
D13,133.0625,-112,top,0
D14,146.0625,-104.5,top,180
D15,142.5625,-112,top,0
D16,146,-106.55,top,180
D17,142.4375,-96.55,top,90
D18,137,-99.5,top,180
Q1,139.4375,-96.55,top,0
R1,94.5,-111.5875,top,90
R2,134,-88,top,90
R3,105,-111.5,top,90
R4,130,-111.0875,top,90
R5,139.5875,-111.0875,top,90
R6,130.5,-88,top,90
R7,127,-88,top,90
R8,124,-88,top,90
R9,121,-88,top,90
R10,118,-88,top,90
R11,115,-88,top,90
R12,112,-88,top,90
R13,109,-88,top,90
R14,106,-88,top,90
R15,100.5,-111.0875,top,-90
R16,111,-111,top,-90
R17,136,-111,top,-90
R18,141.9375,-103.55,top,0
R19,145.5,-111,top,-90
R20,141.9375,-105.55,top,0
R21,139.85,-93.55,top,180
U1,123.3923,-101.8923,top,-90
U2,141.3,-100.5,top,0